流水號,候選人,序號,交易日期,交易年,收支科目,統一編號,捐贈者／支出對象,收入金額,支出金額,金錢類,地址,P,營業地址
3486,何欣純,74,104/09/22,104,營利事業捐贈收入,23365733,友秀實業股份有限公司,500000,NA,是,臺中市大里區,204,臺中市大里區瑞城里中興路1段26巷30號
2503,徐景文,24,104/10/05,104,營利事業捐贈收入,16894172,友和貿易股份有限公司,200000,NA,是,新北市林口區,182,新北市林口區文化一路1段93號3樓之2
684,陳超明,34,104/12/08,104,營利事業捐贈收入,16130774,友旺科技股份有限公司竹南分公司,100000,NA,是,苗栗縣竹南鎮,235,苗栗縣竹南鎮公義里友義路77號
683,陳超明,10,105/01/04,105,營利事業捐贈收入,16130774,友旺科技股份有限公司竹南分公司,100000,NA,是,苗栗縣竹南鎮,235,苗栗縣竹南鎮公義里友義路77號
5198,姚文智,48,104/11/25,104,營利事業捐贈收入,53956209,友昌不動產有限公司,100000,NA,是,臺北市信義區,201,臺北市信義區五常里松信路85號1樓
1817,賴瑞隆,38,104/08/20,104,營利事業捐贈收入,16457193,友春國際股份有限公司,10000,NA,是,高雄市苓雅區,NA,高雄市苓雅區福南里福安路485號
4972,李彥秀,11,104/12/22,104,營利事業捐贈收入,97455012,友座建設股份有限公司,500000,NA,是,臺北市文山區,NA,臺北市文山區羅斯福路5段125號3樓
2029,邱議瑩,79,104/09/10,104,營利事業捐贈收入,85806436,友情汽車修配有限公司,10000,NA,是,高雄市鳳山區,243,高雄市鳳山區武慶里輜汽北二路8號
2644,吳秉叡,4,105/01/07,105,營利事業捐贈收入,53882517,友盛企業有限公司,127000,NA,是,新北市新莊區,NA,新北市新莊區西盛里新樹路333巷16號
1815,劉世芳,12,104/12/08,104,營利事業捐贈收入,27711762,友椿不動產股份有限公司,200000,NA,是,高雄市苓雅區,199,高雄市苓雅區意誠里新光路38號33樓之3
1814,蘇震清,11,104/12/28,104,營利事業捐贈收入,27711762,友椿不動產股份有限公司,60000,NA,是,高雄市苓雅區,180,高雄市苓雅區意誠里新光路38號33樓之3
1007,吳育昇,4,105/01/11,105,營利事業捐贈收入,16944238,友興投資股份有限公司,600000,NA,是,新北市汐止區,NA,桃園市龜山區大湖里文三二街52巷35號4樓
3314,黃秀芳,22,104/12/30,104,營利事業捐贈收入,45789798,友鵬工業社,7000,NA,是,彰化縣彰化市,177,彰化縣彰化市香山里彰南路2段512巷43號1樓
5394,王定宇,85,104/10/09,104,營利事業捐贈收入,23876469,友鵬有限公司,30000,NA,是,臺南市仁德區,219,臺南市仁德區一甲里太乙七街40號1F
5417,王定宇,127,104/08/17,104,營利事業捐贈收入,69409256,友麗紙器企業有限公司,50000,NA,是,臺南市仁德區,218,臺南市仁德區太子里太子路102號
1168,管碧玲,13,104/12/24,104,營利事業捐贈收入,27704072,双斧團體服飾訂製有限公司,20000,NA,是,高雄市三民區,216,高雄市三民區長明里林森一路331號
5752,陳根德,32,104/12/24,104,營利事業捐贈收入,12744147,双美生物科技股份有限公司,300000,NA,是,臺南市新市區,NA,臺南市新市區豐華里環東路1段31巷10號
775,陳學聖,27,104/12/21,104,營利事業捐贈收入,86831216,壬強實業有限公司,20000,NA,是,桃園市中壢區,229,桃園市中壢區仁美里榮民南路350巷32弄2號
3593,林郁方,13,104/12/22,104,營利事業捐贈收入,24250359,天下數位科技股份有限公司,100000,NA,是,臺中市北區漢,NA,臺中市北區頂厝里漢口路4段367號11樓
4649,鄭運鵬,24,104/12/02,104,營利事業捐贈收入,54661127,天工日用品股份有限公司,500000,NA,是,臺北市松山區,250,臺北市中山區南京東路3段70號4樓
4648,張承中,4,104/09/17,104,營利事業捐贈收入,53546418,天工生技股份有限公司,100000,NA,是,臺北市中山區,281,臺北市中山區南京東路3段70號4樓
4650,蔡其昌,37,104/12/02,104,營利事業捐贈收入,53546418,天工生技股份有限公司,1000000,NA,是,臺北市中山區,192,臺北市中山區南京東路3段70號4樓
76,張慶忠,5,104/12/18,104,營利事業捐贈收入,1408694,天仁木業股份有限公司,50000,NA,是,臺北市西園路,NA,新北市土城區民生街6號
3839,張廖萬堅,16,104/12/25,104,營利事業捐贈收入,27611709,天月人文休閒旅館股份有限公司,100000,NA,是,臺中市西屯區,NA,臺中市西屯區潮洋里朝馬三街18號
2210,李乾龍,6,104/12/30,104,營利事業捐贈收入,96973810,天外天有線電視股份有限公司,200000,NA,是,新北市三重區,NA,新北市三重區重新路2段78號10樓
1352,邱志偉,139,104/07/30,104,營利事業捐贈收入,53900846,天正國際精密機械股份有限公司,100000,NA,是,高雄市仁武區,NA,高雄市仁武區竹後里鳳仁路295-2號
1355,劉世芳,77,104/07/12,104,營利事業捐贈收入,53900846,天正國際精密機械股份有限公司,100000,NA,是,高雄市仁武區,198,高雄市仁武區竹後里鳳仁路295-2號
1354,劉世芳,75,104/07/13,104,營利事業捐贈收入,53900846,天正國際精密機械股份有限公司,100000,NA,是,高雄市仁武區,198,高雄市仁武區竹後里鳳仁路295-2號
1353,賴瑞隆,63,104/07/28,104,營利事業捐贈收入,53900846,天正國際精密機械股份有限公司,100000,NA,是,高雄市仁武區,NA,高雄市仁武區竹後里鳳仁路295-2號
202,費鴻泰,8,104/12/27,104,營利事業捐贈收入,3069208,天成飯店股份有限公司,100000,NA,是,臺北市中正區,NA,臺北市中正區忠孝西路1段43號
201,盧秀燕,51,104/09/18,104,營利事業捐贈收入,3069208,天成飯店股份有限公司,100000,NA,是,臺北市中正區,NA,臺北市中正區忠孝西路1段43號
4520,鄭運鵬,46,104/06/09,104,營利事業捐贈收入,11102308,天行貿易股份有限公司,300000,NA,是,臺北市中山區,251,臺北市中山區正得里長安東路1段21號2樓
2560,羅明才,23,104/11/23,104,營利事業捐贈收入,22053629,天利蒸餾水廠有限公司,20000,NA,是,新北市新店區,194,新北市新店區民權路42巷47弄7號1樓
4988,姚文智,9,105/01/03,105,營利事業捐贈收入,26367973,天沃創意工作室,200000,NA,否,臺北市士林區,202,臺北市北投區永欣里同德街2號12樓之10
2415,陳明文,8,104/12/14,104,營利事業捐贈收入,85086859,天良生物科技企業股份有限公司,100000,NA,是,新北市汐止區,NA,新北市汐止區樟樹里大同路1段147號9樓
2414,葉宜津,24,104/11/25,104,營利事業捐贈收入,85086859,天良生物科技企業股份有限公司,50000,NA,是,新北市汐止區,171,新北市汐止區樟樹里大同路1段147號9樓
3909,葉春幸,4,104/12/01,104,營利事業捐贈收入,24599029,天使顧問有限公司,10000,NA,是,臺中市南屯區,NA,臺中市南屯區同心里大墩路151號4樓之2
826,陳學聖,16,105/01/01,105,營利事業捐贈收入,89243867,天長地久企業有限公司,50000,NA,是,桃園市中壢區,229,桃園市中壢區興國里元化路2段47號4樓
1269,管碧玲,63,104/08/31,104,營利事業捐贈收入,22545759,天俊工業股份有限公司,50000,NA,是,高雄市大寮區,215,高雄市大寮區中興里萬丹路257號
1668,管碧玲,113,104/08/06,104,營利事業捐贈收入,24669523,天美旅行社有限公司,10000,NA,是,高雄市鳳山區,214,高雄市前鎮區明義里南衙路151號3樓
4517,林岱樺,1,105/01/15,105,營利事業捐贈收入,70567669,天胜國際有限公司,40000,NA,是,臺北市中山區,224,臺北市中山區中原里新生北路2段31巷5號1樓
2526,洪慈庸,33,104/11/23,104,營利事業捐贈收入,89890435,天恩工程有限公司,1200,NA,是,新北市金山區,252,新北市金山區中正路141巷4號2樓
2891,陳明文,13,104/10/29,104,營利事業捐贈收入,66512164,天珩機械股份有限公司,150000,NA,是,嘉義縣大林鎮,NA,嘉義縣大林鎮三村里橋子頭1之6號
2890,蔡錦隆,47,104/10/11,104,營利事業捐贈收入,66512164,天珩機械股份有限公司,100000,NA,是,嘉義縣大林鎮,NA,嘉義縣大林鎮三村里橋子頭1之6號
5727,陳亭妃,11,105/01/12,105,營利事業捐贈收入,69310199,天乾製藥有限公司,100000,NA,是,臺南市將軍區,NA,臺南市將軍區忠興里132之35號
5728,蔡錦隆,29,104/12/12,104,營利事業捐贈收入,69310199,天乾製藥有限公司,200000,NA,是,臺南市將軍區,NA,臺南市將軍區忠興里132之35號
3594,蘇治芬,14,104/12/29,104,營利事業捐贈收入,12606571,天盛投資股份有限公司,200000,NA,是,臺中市北區太,NA,臺中市北區新北里太平路42-1號
830,鄭寶清,37,104/10/01,104,營利事業捐贈收入,28621803,天源環保有限公司,20000,NA,是,桃園市平鎮區,184,桃園市平鎮區北貴里大仁街170號1樓
4165,吳思瑤,14,104/12/11,104,營利事業捐贈收入,28676476,天義國際有限公司,100000,NA,是,臺北市士林區,NA,臺北市士林區葫蘆街108之1號
4130,江啟臣,39,104/06/03,104,營利事業捐贈收入,55845290,天葆化學工業股份有限公司,500000,NA,是,苗栗縣三義鄉,NA,臺中市豐原區翁子里豐勢路2段480巷37號
5166,楊鎮浯,1,105/01/15,105,營利事業捐贈收入,28886466,天福船務代理股份有限公司,100000,NA,是,臺北市松山區,143,臺北市松山區精忠里敦化北路309號2樓
3713,蔡錦隆,39,104/11/27,104,營利事業捐贈收入,80318021,天衛資產管理股份有限公司,1000000,NA,是,臺中市西區大,NA,臺中市西區忠誠里大隆路20號4樓之5
3595,蘇治芬,15,104/12/29,104,營利事業捐贈收入,12816628,天興投資股份有限公司,200000,NA,是,臺中市北區太,NA,臺中市北區新北里太平路42-1號2樓
1253,邱議瑩,24,104/12/11,104,營利事業捐贈收入,81470092,天興實業股份有限公司,80000,NA,是,高雄市大社區,242,高雄市大社區嘉誠里食坑巷80號
1252,黃柏霖,24,104/11/20,104,營利事業捐贈收入,81470092,天興實業股份有限公司,80000,NA,是,高雄市大社區,153,高雄市大社區嘉誠里食坑巷80號
1251,鍾易仲,15,104/12/09,104,營利事業捐贈收入,81470092,天興實業股份有限公司,80000,NA,是,高雄市大社區,NA,高雄市大社區嘉誠里食坑巷80號
1383,邱議瑩,61,104/09/21,104,營利事業捐贈收入,14460807,天闊日式溫泉會舘,10000,NA,是,高雄市六龜區,243,高雄市六龜區新發里新開62之28號1樓
5668,江啟臣,12,104/12/21,104,營利事業捐贈收入,72058206,太子建設開發股份有限公司,100000,NA,是,臺中市崇德路,NA,臺南市東區東光里中華東路1段398號8樓
5667,盧秀燕,NA,104/12/25,104,營利事業捐贈收入,72058206,太子建設開發股份有限公司,100000,NA,是,臺中市北屯區,NA,臺南市東區東光里中華東路1段398號8樓
5669,謝志忠,6,105/01/05,105,營利事業捐贈收入,72058206,太子建設開發股份有限公司,500000,NA,是,臺南市東區中,157,臺南市東區東光里中華東路1段398號8樓
3033,陳文彬,8,104/12/31,104,營利事業捐贈收入,86559530,太子螺絲股份有限公司,100000,NA,是,彰化縣伸港鄉,189,彰化縣伸港鄉溪底村興工路53號
746,趙正宇,6,104/12/18,104,營利事業捐贈收入,80037916,太山大企業有限公司,100000,NA,是,桃園市八德區,278,桃園市八德區大福里桃德路425號
593,鍾佳濱,11,104/12/29,104,營利事業捐贈收入,80317944,太友建設有限公司,30000,NA,是,屏東縣屏東巿,254,屏東縣屏東市永安里棒球路117號1樓
4331,孔文吉,1,105/01/14,105,營利事業捐贈收入,21257316,太平洋崇光百貨股份有限公司,1000000,NA,是,臺北市大安區,186,臺北市大安區忠孝東路4段45號1-13樓地下1-3樓
4330,孫大千,2,104/12/29,104,營利事業捐贈收入,21257316,太平洋崇光百貨股份有限公司,1000000,NA,是,臺北市大安區,NA,臺北市大安區忠孝東路4段45號1-13樓地下1-3樓
1079,楊麗環,18,104/12/28,104,營利事業捐贈收入,86431844,太松企業股份有限公司,3600,NA,是,桃園市蘆竹區,NA,桃園市蘆竹區富竹里南竹路4段276號
738,陳超明,2,105/01/15,105,營利事業捐贈收入,49703344,太原氣體股份有限公司,60000,NA,是,苗栗縣頭份鎮,235,苗栗縣頭份市蘆竹里16鄰中華路428號
3494,陳歐珀,7,105/01/04,105,營利事業捐贈收入,23387498,太格特殊建材股份有限公司,50000,NA,是,臺中市大雅區,161,臺中市大雅區三和里昌平路4段53巷9號1樓
4865,丁守中,23,104/12/21,104,營利事業捐贈收入,53349964,太得投資有限公司,100000,NA,是,臺北市內湖區,NA,臺北市內湖區港墘里文德路12號3樓
4871,邱議瑩,5,104/12/30,104,營利事業捐贈收入,53349964,太得投資有限公司,100000,NA,是,臺北市內湖區,242,臺北市內湖區港墘里文德路12號3樓
4867,姚文智,25,104/12/19,104,營利事業捐贈收入,53349964,太得投資有限公司,100000,NA,是,臺北市內湖區,202,臺北市內湖區港墘里文德路12號3樓
4863,柯建銘,18,104/12/30,104,營利事業捐贈收入,53349964,太得投資有限公司,100000,NA,是,臺北市內湖區,NA,臺北市內湖區港墘里文德路12號3樓
4866,高志鵬,11,104/12/23,104,營利事業捐贈收入,53349964,太得投資有限公司,100000,NA,是,臺北市內湖區,NA,臺北市內湖區港墘里文德路12號3樓
4864,許智傑,11,105/01/06,105,營利事業捐贈收入,53349964,太得投資有限公司,100000,NA,是,臺北市松山區,NA,臺北市內湖區港墘里文德路12號3樓
4870,陳學聖,28,104/12/21,104,營利事業捐贈收入,53349964,太得投資有限公司,100000,NA,是,臺北市松山區,229,臺北市內湖區港墘里文德路12號3樓
4869,黃國書,12,104/12/30,104,營利事業捐贈收入,53349964,太得投資有限公司,100000,NA,是,臺北市內湖區,226,臺北市內湖區港墘里文德路12號3樓
4868,管碧玲,6,105/01/04,105,營利事業捐贈收入,53349964,太得投資有限公司,100000,NA,是,臺北市內湖區,216,臺北市內湖區港墘里文德路12號3樓
1989,邱議瑩,41,104/10/14,104,營利事業捐贈收入,87027809,太陽煙筒行,10000,NA,是,高雄市旗山區,243,高雄市旗山區東平里樹人橫路1號
532,馬文君,14,104/12/31,104,營利事業捐贈收入,61841791,太隆土木包工業,12000,NA,是,南投縣埔里鎮,NA,南投縣埔里鎮北門里18鄰北環路135號
809,曾煜銘,1,104/07/20,104,營利事業捐贈收入,28675574,太極能源科技股份有限公司,50000,NA,是,臺北市南港區,317,桃園市中壢區復興里自強一路5號
1769,趙天麟,49,104/11/22,104,營利事業捐贈收入,28636192,太極微風開發建設有限公司,50000,NA,是,高雄市苓雅區,240,高雄市苓雅區苓中里四維四路190號5樓之2
264,邱顯智,3,104/12/18,104,營利事業捐贈收入,26651597,尹誠法律事務所,10000,NA,是,桃園市桃園區,318,NA
1049,林淑芬,23,104/08/13,104,營利事業捐贈收入,80290332,巴斯威爾股份有限公司,100000,NA,是,桃園市蘆竹區,176,桃園市蘆竹區內厝里13鄰內溪路39巷46弄6號
1048,林淑芬,20,104/10/20,104,營利事業捐贈收入,80290332,巴斯威爾股份有限公司,100000,NA,是,桃園市蘆竹區,176,桃園市蘆竹區內厝里13鄰內溪路39巷46弄6號
1047,羅致政,24,104/08/13,104,營利事業捐贈收入,80290332,巴斯威爾股份有限公司,50000,NA,是,桃園市蘆竹區,NA,桃園市蘆竹區內厝里13鄰內溪路39巷46弄6號
4758,陳學聖,7,105/01/15,105,營利事業捐贈收入,22343304,引雅股份有限公司,30000,NA,是,臺北市中正區,229,臺北市中正區光復里忠孝西路1段102號11樓
4955,李彥秀,5,105/01/04,105,營利事業捐贈收入,16157111,心力合建設企業股份有限公司,500000,NA,是,民權東路段巷,NA,臺北市內湖區寶湖里民權東路六段180巷42弄30號二樓
3740,蔡其昌,36,104/12/02,104,營利事業捐贈收入,24239284,心月旅館股份有限公司,100000,NA,是,臺中市西屯區,192,臺中市西屯區西墩里青海路2段518號
2033,許智傑,20,104/12/28,104,營利事業捐贈收入,38713324,心享素城蔬食餐廳,5000,NA,是,高雄市鳳山區,NA,高雄市鳳山區武慶里輜汽路8號1樓
2256,葉宜津,23,104/11/27,104,營利事業捐贈收入,28059446,手信坊有限公司,100000,NA,是,桃園市龍潭區,171,新北市土城區國際路55號3樓
2940,李俊俋,32,104/09/08,104,營利事業捐贈收入,66539614,文山賓館,100000,NA,是,嘉義縣阿里山,NA,嘉義縣阿里山鄉中山村003鄰東阿里山40號
542,馬文君,32,104/12/12,104,營利事業捐贈收入,78104537,文仁銀樓,60000,NA,是,南投縣埔里鎮,NA,南投縣埔里鎮清新里7鄰西安路1段10號
3614,楊瓊瓔,2,105/01/15,105,營利事業捐贈收入,97050011,文介空壓機實業有限公司,50000,NA,是,臺中市神岡區,231,臺中市北屯區水湳里大連北街24巷44號1樓
4859,黃珊珊,49,104/08/24,104,營利事業捐贈收入,30821861,文心建設股份有限公司,500000,NA,是,臺北市內湖區,NA,臺北市內湖區港墘里內湖路1段388號3樓之1
1717,林岱樺,99,104/07/20,104,營利事業捐贈收入,53899242,文正投資股份有限公司,300000,NA,是,高雄市前鎮區,222,高雄市前鎮區鎮北里臨水南路26號3樓
546,馬文君,19,104/12/25,104,營利事業捐贈收入,61803298,文和堂,30000,NA,是,南投縣埔里鎮,NA,南投縣埔里鎮薰化里西康路37號
732,陳超明,28,104/12/11,104,營利事業捐贈收入,54263508,文春投資有限公司,300000,NA,是,苗栗縣頭份鎮,235,苗栗縣頭份市尖下里1鄰芝山莊10號1樓
731,鍾易仲,2,105/01/14,105,營利事業捐贈收入,54263508,文春投資有限公司,100000,NA,是,苗栗縣頭份鎮,NA,苗栗縣頭份市尖下里1鄰芝山莊10號1樓
693,陳超明,32,104/12/11,104,營利事業捐贈收入,84558944,文泉營造股份有限公司,100000,NA,是,苗栗縣後龍鎮,235,苗栗縣後龍鎮大庄里11鄰中山路468號
2434,林國春,35,104/10/24,104,營利事業捐贈收入,34220432,文強交通有限公司,30000,NA,是,文化路段號,NA,新北市板橋區文翠里文化路2段576號
2979,陳素月,68,104/10/26,104,營利事業捐贈收入,79999581,文賀實業股份有限公司,50000,NA,是,彰化縣大村鄉,134,彰化縣大村鄉黃厝村美港路336巷42號
4719,丁守中,40,104/11/06,104,營利事業捐贈收入,28831786,方元投資股份有限公司,200000,NA,是,臺北市中山區,NA,臺北市中山區聚葉里中山北路2段129號14樓之1
4718,馬文君,38,104/12/04,104,營利事業捐贈收入,28831786,方元投資股份有限公司,100000,NA,是,臺北市中山區,NA,臺北市中山區聚葉里中山北路2段129號14樓之1
179,吳育昇,33,104/12/08,104,營利事業捐贈收入,9442816,方格子文化事業有限公司,20000,NA,是,臺北市中正區,NA,臺北市大安區錦安里金山南路2段185巷14號
1194,管碧玲,44,104/11/30,104,營利事業捐贈收入,81274845,日一冷凍材料有限公司,10000,NA,是,高雄市三民區,215,高雄市三民區德仁里自由一路19號1樓
1425,劉世芳,17,104/11/20,104,營利事業捐贈收入,97143551,日大建設事業股份有限公司,50000,NA,是,高雄市左營區,199,高雄市左營區新上里安吉街376號
1866,邱志偉,125,104/08/12,104,營利事業捐贈收入,22000270,日友水產股份有限公司,100000,NA,是,高雄市新興區,NA,高雄市新興區德生里民生一路247號11樓之3
1870,邱議瑩,102,104/08/14,104,營利事業捐贈收入,22000270,日友水產股份有限公司,200000,NA,是,高雄市新興區,244,高雄市新興區德生里民生一路247號11樓之3
1868,管碧玲,80,104/08/12,104,營利事業捐贈收入,22000270,日友水產股份有限公司,200000,NA,是,高雄市新興區,215,高雄市新興區德生里民生一路247號11樓之3
737,吳宜臻,10,104/11/10,104,營利事業捐贈收入,54265695,日光電力有限公司,20000,NA,是,苗栗縣頭份鎮,NA,苗栗縣頭份市頭份里18鄰中正路248號1樓
2430,吳秉叡,69,104/09/22,104,營利事業捐贈收入,89309987,日亞太租賃有限公司,20000,NA,是,新北市板橋區,NA,"新北市板橋區公園路62,64號"
2201,姚文智,73,104/09/29,104,營利事業捐贈收入,24419194,日悅豐企業有限公司,20000,NA,是,新北市三重區,201,新北市三重區光田里007鄰新北大道1段97號
483,蕭美琴,39,104/11/03,104,營利事業捐贈收入,95807672,日晟企業社,100000,NA,是,花蓮縣新城鄉,NA,花蓮縣新城鄉大漢村七星街9號
2025,邱議瑩,76,104/09/10,104,營利事業捐贈收入,85860368,日清汽車企業有限公司,10000,NA,是,高雄市鳳山區,243,高雄市鳳山區武慶里輜汽北一路18之1號
5681,陳亭妃,41,104/12/30,104,營利事業捐贈收入,78977552,日盛油漆油墨行,10000,NA,是,臺南市東區崇,NA,臺南市東區崇善里崇善十二街56巷6號1樓
1539,管碧玲,48,104/11/19,104,營利事業捐贈收入,28281804,日盛營造股份有限公司,20000,NA,是,高雄市橋頭區,215,高雄市岡山區石潭里石潭東街33號1樓
902,鍾佳濱,40,104/08/17,104,營利事業捐贈收入,28328596,日富光電有限公司,100000,NA,是,桃園市春日路,254,桃園市桃園區汴洲里春日路1492-8號10樓
5516,王定宇,59,104/11/19,104,營利事業捐贈收入,89715958,日揚營造股份有限公司,100000,NA,是,臺南市永康區,220,臺南市永康區埔園里自強路680號1樓
5514,陳亭妃,119,104/12/01,104,營利事業捐贈收入,89715958,日揚營造股份有限公司,100000,NA,是,臺南市永康區,NA,臺南市永康區埔園里自強路680號1樓
5515,黃偉哲,16,104/12/07,104,營利事業捐贈收入,89715958,日揚營造股份有限公司,100000,NA,是,臺南市永康區,NA,臺南市永康區埔園里自強路680號1樓
4971,陳歐珀,16,104/12/30,104,營利事業捐贈收入,13105935,日揚環境工程有限公司,60000,NA,是,臺北市文山區,161,臺北市文山區興昌里辛亥路4段101巷85―8號2樓
3858,林滄敏,3,105/01/07,105,營利事業捐贈收入,12683492,日詎股份有限公司,500000,NA,是,臺中市沙鹿區,NA,臺中市沙鹿區鹿寮里031鄰錦華街18號4樓
3856,劉國隆,7,104/12/28,104,營利事業捐贈收入,12683492,日詎股份有限公司,200000,NA,是,鹿寮里錦華街,NA,臺中市沙鹿區鹿寮里031鄰錦華街18號4樓
3857,顏秋月,1,104/12/29,104,營利事業捐贈收入,12683492,日詎股份有限公司,300000,NA,是,臺中市沙鹿區,259,臺中市沙鹿區鹿寮里031鄰錦華街18號4樓
3859,顏寬恒,17,104/12/30,104,營利事業捐贈收入,12683492,日詎股份有限公司,600000,NA,是,臺中市沙鹿區,233,臺中市沙鹿區鹿寮里031鄰錦華街18號4樓
709,江啟臣,24,104/11/30,104,營利事業捐贈收入,23111844,日進證券股份有限公司,200000,NA,是,苗栗縣苗栗市,NA,苗栗縣苗栗市中苗里11鄰中正路426號4樓
708,陳超明,7,105/01/07,105,營利事業捐贈收入,23111844,日進證券股份有限公司,50000,NA,是,苗栗縣苗栗市,235,苗栗縣苗栗市中苗里11鄰中正路426號4樓
2480,李婉鈺,1,105/01/14,105,營利事業捐贈收入,25062559,日溢國際有限公司,10000,NA,是,新北市板橋區,NA,新北市板橋區廣福里和平路14巷13之1號
995,張肇良,43,104/11/17,104,營利事業捐贈收入,12814564,日鼎營造工程有限公司,10000,NA,是,桃園市龍潭區,NA,桃園市龍潭區烏樹林里中豐路590號
2150,陳明文,27,104/10/03,104,營利事業捐贈收入,25175863,日興堂囍餅有限公司,50000,NA,是,雲林縣元表鄉,NA,雲林縣北港鎮南安里中山路3號
4701,林國春,36,104/10/22,104,營利事業捐贈收入,80647699,日鑫開發股份有限公司,100000,NA,是,臺北市中山區,NA,臺北市中山區集英里天祥路78號1樓
4702,林國春,37,104/10/22,104,營利事業捐贈收入,80647699,日鑫開發股份有限公司,100000,NA,是,臺北市中山區,NA,臺北市中山區集英里天祥路78號1樓
4703,羅致政,16,104/10/27,104,營利事業捐贈收入,80647699,日鑫開發股份有限公司,100000,NA,是,臺北市中山區,NA,臺北市中山區集英里天祥路78號1樓
2572,馬文君,30,104/12/12,104,營利事業捐贈收入,86754604,日觀實業股份有限公司,100000,NA,是,新北市新店區,NA,新北市新店區復興里北新路3段219號16樓
14,陳永福,14,104/11/17,104,營利事業捐贈收入,9609630,月柔行號,10000,NA,是,新北市新店區,NA,新北市新店區安康路2段350之3號
3306,黃柏霖,6,104/12/24,104,營利事業捐贈收入,28067065,木一工程有限公司,10000,NA,是,彰化縣花壇鄉,153,彰化縣彰化市南瑤里9鄰仁愛路137巷16弄11號5樓
4171,呂欣潔,1,104/12/31,104,營利事業捐贈收入,28228127,木村屋食品股份有限公司,50000,NA,是,臺北市士林區,319,臺北市士林區福佳里文林路513號
4172,陳學聖,21,104/12/30,104,營利事業捐贈收入,28228127,木村屋食品股份有限公司,100000,NA,是,臺北市士林區,229,臺北市士林區福佳里文林路513號
5746,王定宇,87,104/10/09,104,營利事業捐贈收入,72051941,木通實業股份有限公司,30000,NA,是,臺南市新市區,219,臺南市新市區潭頂里潭頂12號
5748,林俊憲,13,104/12/29,104,營利事業捐贈收入,72051941,木通實業股份有限公司,200000,NA,是,新北市五股區,196,臺南市新市區潭頂里潭頂12號
5750,邱議瑩,6,104/12/29,104,營利事業捐贈收入,72051941,木通實業股份有限公司,200000,NA,是,臺南市新化區,242,臺南市新市區潭頂里潭頂12號
5749,姚文智,14,104/12/29,104,營利事業捐贈收入,72051941,木通實業股份有限公司,200000,NA,是,臺南市新市區,202,臺南市新市區潭頂里潭頂12號
5747,蕭美琴,9,104/12/29,104,營利事業捐贈收入,72051941,木通實業股份有限公司,200000,NA,是,新北市五股區,NA,臺南市新市區潭頂里潭頂12號
4776,楊麗環,4,105/01/12,105,營利事業捐贈收入,15903934,木豐建材股份有限公司,200000,NA,是,臺北市中正區,NA,臺北市中正區金山南路1段75號1樓
4687,郝龍斌,11,104/12/16,104,營利事業捐贈收入,23052232,水美開發實業股份有限公司,200000,NA,是,臺北市南京東,237,臺北市中山區復華里南京東路3段21號11樓
4681,龐維良,2,104/11/30,104,營利事業捐贈收入,23052232,水美開發實業股份有限公司,50000,NA,是,臺北市中山區,268,臺北市中山區復華里南京東路3段21號11樓
4688,蘇巧慧,11,104/12/07,104,營利事業捐贈收入,23052232,水美開發實業股份有限公司,250000,NA,是,臺北市中山區,188,臺北市中山區復華里南京東路3段21號11樓
2659,吳秉叡,72,104/09/20,104,營利事業捐贈收入,53427481,水將淨化科技有限公司,60000,NA,是,新北市新莊區,NA,新北市新莊區思源里思源路63號
2407,呂欣潔,8,104/09/01,104,營利事業捐贈收入,25024649,水蓮親家開發有限公司,60000,NA,是,新北市汐止區,319,新北市汐止區湖蓮里湖前街110巷97弄24號地下一層之5
884,林昶佐,15,104/08/14,104,營利事業捐贈收入,27355882,水騏有限公司,400000,NA,是,臺北市內湖區,257,桃園市桃園區中寧里大興西路二段69巷102號8樓
883,林昶佐,3,104/12/28,104,營利事業捐贈收入,27355882,水騏有限公司,100000,NA,是,臺北市內湖區,257,桃園市桃園區中寧里大興西路二段69巷102號8樓
882,黃國昌,3,104/12/30,104,營利事業捐贈收入,27355882,水騏有限公司,100000,NA,是,桃園市桃園區,NA,桃園市桃園區中寧里大興西路二段69巷102號8樓
881,黃國昌,2,104/12/31,104,營利事業捐贈收入,27355882,水騏有限公司,50000,NA,是,桃園市桃園區,NA,桃園市桃園區中寧里大興西路二段69巷102號8樓
541,瓦歷斯貝林,3,104/12/16,104,營利事業捐贈收入,22404646,牛耳藝術公園有限公司,5000,NA,是,南投縣埔里鎮,302,南投縣埔里鎮南村里中山路4段1-6號
540,馬文君,9,104/12/31,104,營利事業捐贈收入,21407770,牛相觸庭園餐坊,6000,NA,是,南投縣埔里鎮,NA,南投縣埔里鎮南村里1鄰桃南路31號
900,陳學聖,19,104/12/31,104,營利事業捐贈收入,31300690,王佳實業股份有限公司,100000,NA,是,桃園市桃園區,229,桃園市桃園區汴洲里022鄰經國路888號14樓之2
899,廖正井,4,104/12/31,104,營利事業捐贈收入,31300690,王佳實業股份有限公司,100000,NA,是,桃園市桃園區,NA,桃園市桃園區汴洲里022鄰經國路888號14樓之2
304,吳威志,7,104/10/19,104,營利事業捐贈收入,92010862,王迪吾律師,50000,NA,是,仁愛路二段號,276,臺北市中正區仁愛路二段1號10樓
1923,翁壽良,8,104/11/18,104,營利事業捐贈收入,12606910,王馬企業有限公司,500000,NA,是,高雄市路竹區,NA,高雄市路竹區竹南里34鄰中華路120號1樓
